Name,Language,Stars,Forks,Owner,Created At
starship,Rust,58484,2562,starship,2019-04-02T03:23:12Z
meilisearch,Rust,58291,2589,meilisearch,2018-04-23T11:45:28Z
awesome-rust,Rust,58017,3441,rust-unofficial,2014-07-17T10:45:10Z
Pake,Rust,57469,11445,tw93,2022-10-14T09:32:57Z
fuel-core,Rust,56998,2861,FuelLabs,2020-08-27T21:12:14Z
typst,Rust,54550,1625,typst,2019-09-24T21:41:56Z
ChatGPT,Rust,54387,6147,lencx,2022-12-07T09:43:02Z
goose,Rust,50167,5339,aaif-goose,2024-08-23T19:03:36Z
ruff,Rust,48218,2186,astral-sh,2022-08-09T17:17:44Z
bevy,Rust,46840,4647,bevyengine,2020-01-18T21:13:55Z
helix,Rust,44981,3566,helix-editor,2020-06-01T04:26:56Z
fd,Rust,43471,1074,sharkdp,2017-05-09T21:27:10Z
fuels-rs,Rust,43145,1362,FuelLabs,2021-10-31T22:33:54Z
hyperswitch,Rust,43113,4883,juspay,2022-10-17T11:18:28Z
nushell,Rust,39813,2165,nushell,2019-05-10T16:59:42Z
yazi,Rust,39765,911,sxyazi,2023-07-08T11:45:55Z
sniffnet,Rust,39594,1691,GyulyVGC,2022-07-31T21:55:56Z
CodeWhale,Rust,38992,3357,Hmbown,2026-01-19T18:21:01Z
polars,Rust,38870,2904,pola-rs,2020-05-13T19:45:33Z
lapce,Rust,38573,1293,lapce,2018-02-06T08:41:06Z
spacedrive,Rust,38406,1298,spacedriveapp,2021-09-27T05:09:04Z
zoxide,Rust,37622,833,ajeetdsouza,2020-03-05T13:11:40Z
servo,Rust,37186,3683,servo,2012-02-08T19:07:25Z
agent-browser,Rust,37115,2364,vercel-labs,2026-01-11T05:38:15Z
dioxus,Rust,36513,1701,DioxusLabs,2021-01-15T01:57:26Z
pnpm,Rust,35614,1543,pnpm,2016-01-28T07:40:43Z
firecracker,Rust,35125,2472,firecracker-microvm,2017-10-19T06:18:47Z
just,Rust,34416,805,casey,2016-06-17T06:08:08Z
swc,Rust,34132,1431,swc-project,2017-12-22T11:40:14Z
zellij,Rust,33874,1292,zellij-org,2020-09-01T14:04:28Z
fish-shell,Rust,33739,2313,fish-shell,2012-05-10T03:00:55Z
tabby,Rust,33651,1756,TabbyML,2023-03-16T09:18:01Z
comprehensive-rust,Rust,33079,2029,google,2022-12-21T15:17:24Z
openhuman,Rust,32942,3200,tinyhumansai,2026-02-18T20:01:27Z
yew,Rust,32699,1456,yewstack,2017-12-16T14:19:02Z
qdrant,Rust,32640,2419,qdrant,2020-05-30T21:37:01Z
surrealdb,Rust,32470,1275,surrealdb,2021-12-09T15:03:29Z
tokio,Rust,32378,3112,tokio-rs,2016-09-09T22:31:36Z
linera-protocol,Rust,32076,2355,linera-io,2021-12-19T04:09:21Z
zeroclaw,Rust,32025,4760,zeroclaw-labs,2026-02-13T08:56:04Z
influxdb,Rust,31594,3704,influxdata,2013-09-26T14:31:10Z
delta,Rust,31243,539,dandavison,2019-06-24T15:00:13Z
iced,Rust,30828,1585,iced-rs,2019-07-15T22:34:46Z
turborepo,Rust,30596,2371,vercel,2021-10-05T17:37:11Z
rust-course,Rust,30556,2581,sunface,2018-08-07T05:01:21Z
atuin,Rust,30353,867,atuinsh,2020-10-04T23:01:58Z
mise,Rust,30091,1227,jdx,2023-01-09T14:44:21Z
Antigravity-Manager,Rust,29880,3230,lbjlaq,2025-11-26T10:47:13Z
jj,Rust,29784,1100,jj-vcs,2020-12-18T04:05:27Z
egui,Rust,29498,2050,emilk,2019-01-13T15:39:15Z
rustfs,Rust,29180,1272,rustfs,2023-11-23T13:45:10Z
anki,Rust,28762,3020,ankitects,2012-12-21T08:03:31Z
llmfit,Rust,28577,1754,AlexsJones,2026-02-15T16:11:31Z
chroma,Rust,28572,2341,chroma-core,2022-10-05T17:58:44Z
cli,Rust,28515,1572,googleworkspace,2026-03-02T19:46:06Z
hyperfine,Rust,28358,487,sharkdp,2018-01-13T15:49:54Z
vibe-kanban,Rust,27141,2866,BloopAI,2025-06-14T19:10:21Z
pingora,Rust,26905,1671,cloudflare,2023-05-05T20:03:08Z
wezterm,Rust,26897,1522,wezterm,2018-02-07T05:35:46Z
SwitchHosts,Rust,26864,2645,oldj,2011-09-02T09:38:09Z
Graphite,Rust,26391,1209,GraphiteEditor,2020-04-26T07:29:29Z
axum,Rust,26346,1434,tokio-rs,2021-05-30T09:22:25Z
x-algorithm,Rust,26286,4500,xai-org,2026-01-19T23:12:35Z
fnm,Rust,26061,631,Schniz,2019-01-16T13:32:14Z
tree-sitter,Rust,25997,2722,tree-sitter,2013-11-06T06:16:00Z
Rust,Rust,25882,2576,TheAlgorithms,2018-09-13T13:29:27Z
Rocket,Rust,25748,1630,rwf2,2016-03-18T02:50:18Z
difftastic,Rust,25544,490,Wilfred,2018-12-18T11:19:45Z
niri,Rust,25528,956,niri-wm,2023-08-10T10:53:14Z
fhevm,Rust,25205,2027,zama-ai,2025-05-02T10:48:20Z
biome,Rust,25188,1044,biomejs,2023-07-27T20:30:22Z
Handy,Rust,24868,2100,cjpais,2025-02-13T02:42:29Z
SpacetimeDB,Rust,24743,1007,clockworklabs,2023-06-17T07:28:29Z
actix-web,Rust,24695,1870,actix,2017-09-30T15:30:02Z
exa,Rust,24445,656,ogham,2014-05-22T12:45:16Z
nautilus_trader,Rust,24200,3066,nautechsystems,2018-06-25T06:26:16Z
coreutils,Rust,23677,1926,uutils,2013-08-02T16:22:56Z
tools,Rust,23416,644,rome,2020-02-20T05:57:33Z
slint,Rust,23011,915,slint-ui,2020-05-04T08:53:03Z
eza,Rust,22388,461,eza-community,2023-07-28T08:35:55Z
neon,Rust,22361,1004,neondatabase,2021-03-26T14:20:47Z
flow,Rust,22244,1890,facebook,2014-10-28T17:17:45Z
gitui,Rust,22175,738,gitui-org,2020-03-16T14:38:01Z
RustPython,Rust,22139,1448,RustPython,2018-05-28T19:27:01Z
turso,Rust,22132,1112,tursodatabase,2023-08-26T09:21:36Z
vector,Rust,22085,2183,vectordotdev,2018-08-27T16:57:34Z
mdBook,Rust,21865,1862,rust-lang,2015-07-07T00:57:25Z
oxc,Rust,21705,1086,oxc-project,2023-02-09T05:46:51Z
gleam,Rust,21607,989,gleam-lang,2016-06-30T20:52:30Z
CodexPlusPlus,Rust,21587,1381,BigPizzaV3,2026-05-06T09:32:49Z
Ciphey,Rust,21461,1435,bee-san,2019-07-16T20:20:39Z
sonic,Rust,21260,616,valeriansaliou,2019-02-26T13:16:58Z
ratatui,Rust,21257,694,ratatui,2023-02-12T21:56:20Z
gitbutler,Rust,21162,971,gitbutlerapp,2023-01-31T14:56:22Z
flow,Rust,21134,833,nikivdev,2016-03-04T12:26:34Z
leptos,Rust,21002,873,leptos-rs,2022-07-31T20:40:30Z
wasmer,Rust,20843,981,wasmerio,2018-10-11T10:15:53Z
candle,Rust,20551,1614,huggingface,2023-06-19T16:06:31Z
