Name,Language,Stars,Forks,Owner,Created At
readme-typing-svg,PHP,8988,1569,DenverCoder1,2021-04-20T04:48:50Z
panel,PHP,8979,2592,pterodactyl,2015-12-06T18:37:08Z
fuzzdb,PHP,8942,2109,fuzzdb-project,2015-09-10T17:54:31Z
php-code-coverage,PHP,8932,384,sebastianbergmann,2009-05-28T16:01:43Z
DeepCopy,PHP,8892,108,myclabs,2013-07-22T15:28:03Z
cakephp,PHP,8797,3382,cakephp,2010-05-08T14:38:22Z
core,PHP,8793,2061,owncloud,2012-08-25T10:32:48Z
solidtime,PHP,8713,461,solidtime-io,2024-01-16T15:30:47Z
aimeos-laravel,PHP,8654,1108,aimeos,2015-03-02T13:23:26Z
http-foundation,PHP,8632,307,symfony,2011-02-22T18:03:45Z
event-dispatcher,PHP,8542,66,symfony,2011-02-22T18:02:40Z
Sylius,PHP,8490,2163,Sylius,2011-11-05T22:05:52Z
prophecy,PHP,8480,247,phpspec,2013-03-25T11:40:40Z
finder,PHP,8446,55,symfony,2011-02-22T18:03:01Z
PrivateBin,PHP,8408,998,PrivateBin,2016-07-09T07:03:25Z
Twig,PHP,8364,1286,twigphp,2009-10-07T21:23:38Z
crater,PHP,8305,1694,crater-invoice-inc,2019-11-20T07:09:02Z
random_compat,PHP,8165,148,paragonie,2015-07-07T19:45:38Z
opencart,PHP,8147,5040,opencart,2011-08-02T07:32:17Z
http-kernel,PHP,8123,98,symfony,2011-02-22T18:04:06Z
Wallos,PHP,8110,382,ellite,2023-10-05T18:35:25Z
simple-cache,PHP,8088,55,php-fig,2016-08-24T05:22:12Z
thanks,PHP,8088,38,symfony,2017-12-15T17:00:19Z
dockerlabs,PHP,8009,2177,collabnix,2018-10-15T07:19:18Z
think,PHP,7888,1602,top-think,2013-02-20T03:14:27Z
phpmyadmin,PHP,7887,3582,phpmyadmin,2012-01-19T13:21:52Z
cache,PHP,7865,212,doctrine,2013-01-10T22:37:43Z
WordPress-Plugin-Boilerplate,PHP,7851,2265,DevinVinson,2011-07-11T21:36:46Z
polyfill-mbstring,PHP,7832,38,symfony,2015-10-22T12:57:52Z
lang,PHP,7778,2963,Laravel-Lang,2013-05-29T22:56:40Z
predis,PHP,7762,993,predis,2009-11-07T11:27:33Z
php-timer,PHP,7745,63,sebastianbergmann,2010-05-08T10:40:25Z
promises,PHP,7717,126,guzzle,2015-02-25T03:30:26Z
diff,PHP,7664,87,sebastianbergmann,2013-02-12T08:34:51Z
assert,PHP,7648,161,webmozarts,2015-03-11T12:14:36Z
routing,PHP,7619,93,symfony,2011-02-22T18:04:52Z
lumen,PHP,7577,970,laravel,2015-04-14T01:43:28Z
PHPWord,PHP,7571,2731,PHPOffice,2012-05-06T16:04:30Z
php-file-iterator,PHP,7493,47,sebastianbergmann,2009-11-05T05:02:08Z
manifest,PHP,7484,15,phar-io,2016-11-24T12:07:24Z
jwt,PHP,7481,597,lcobucci,2014-03-05T19:23:23Z
version,PHP,7478,18,phar-io,2016-11-30T11:00:48Z
process,PHP,7464,105,symfony,2011-02-22T18:04:37Z
adminer,PHP,7448,1180,vrana,2010-04-25T08:30:07Z
php-text-template,PHP,7439,30,sebastianbergmann,2009-11-19T11:48:47Z
var-dumper,PHP,7437,101,symfony,2014-09-26T12:08:29Z
css-selector,PHP,7436,43,symfony,2011-02-22T18:01:24Z
tinker,PHP,7433,139,laravel,2016-12-21T17:09:41Z
dolibarr,PHP,7345,3428,Dolibarr,2011-06-26T21:55:03Z
TrustedProxy,PHP,7311,129,fideloper,2013-04-30T20:03:01Z
laravel-dompdf,PHP,7273,979,barryvdh,2013-06-23T11:27:07Z
moodle,PHP,7195,7515,moodle,2009-12-16T23:01:23Z
debug,PHP,7186,46,symfony,2013-04-07T19:13:19Z
web-frameworks,PHP,7087,719,the-benchmarker,2017-03-27T15:17:33Z
laravel-mongodb,PHP,7074,1435,mongodb,2013-03-31T14:31:04Z
comparator,PHP,7054,70,sebastianbergmann,2013-11-05T00:36:12Z
roundcubemail,PHP,7051,1760,roundcube,2012-05-04T11:19:01Z
http-message,PHP,7049,186,php-fig,2014-06-10T22:49:31Z
pixelfed,PHP,7011,858,pixelfed,2018-04-17T01:48:45Z
hamcrest-php,PHP,7007,46,hamcrest,2013-12-31T04:35:35Z
awesome-appsec,PHP,6970,797,paragonie,2015-04-30T21:18:31Z
Keka,PHP,6958,286,aonez,2016-11-08T19:35:50Z
elementor,PHP,6953,1540,elementor,2016-05-30T13:05:46Z
github-readme-streak-stats,PHP,6932,1479,DenverCoder1,2020-10-25T03:44:54Z
hyperf,PHP,6858,1299,hyperf,2018-11-29T04:17:39Z
exporter,PHP,6823,36,sebastianbergmann,2013-02-04T21:15:26Z
openmediavault,PHP,6808,601,openmediavault,2016-05-03T10:35:34Z
environment,PHP,6779,37,sebastianbergmann,2014-02-10T15:39:28Z
annotations,PHP,6739,231,doctrine,2013-01-12T15:57:28Z
framework,PHP,6728,877,flarum,2014-12-20T05:12:03Z
humhub,PHP,6694,1675,humhub,2014-02-10T05:31:03Z
code-unit-reverse-lookup,PHP,6690,6,sebastianbergmann,2016-02-08T20:25:10Z
oauth2-server,PHP,6651,1133,thephpleague,2012-06-04T20:00:52Z
translation,PHP,6607,90,symfony,2011-02-22T18:07:25Z
global-state,PHP,6607,19,sebastianbergmann,2014-08-22T08:11:55Z
version,PHP,6582,36,sebastianbergmann,2013-01-05T14:17:33Z
recursion-context,PHP,6575,19,sebastianbergmann,2015-01-22T17:19:19Z
php-pm,PHP,6554,370,php-pm,2014-02-24T23:25:40Z
object-enumerator,PHP,6538,9,sebastianbergmann,2016-01-28T06:34:32Z
bedrock,PHP,6533,1177,roots,2013-11-02T21:10:54Z
Ratchet,PHP,6436,791,ratchetphp,2012-04-16T21:53:21Z
larastan,PHP,6436,494,larastan,2018-06-29T20:07:07Z
php-token-stream,PHP,6386,58,sebastianbergmann,2009-11-05T07:02:02Z
KodExplorer,PHP,6378,1813,kalcaddle,2013-09-04T15:41:52Z
MISP,PHP,6375,1601,MISP,2013-02-07T17:10:34Z
Lychee,PHP,6360,653,electerious,2012-10-02T15:42:56Z
php-xdg-base-dir,PHP,6295,11,dnoegel,2014-06-30T18:21:18Z
object-reflector,PHP,6284,3,sebastianbergmann,2017-03-12T15:02:28Z
resource-operations,PHP,6269,14,sebastianbergmann,2015-07-19T06:43:40Z
laravel-cors,PHP,6239,607,fruitcake,2013-10-16T07:35:54Z
countries,PHP,6234,1276,mledoze,2012-01-06T14:01:19Z
v2rayN,C#,109893,15433,2dust,2019-07-30T03:47:24Z
shadowsocks-windows,C#,59571,16246,shadowsocks,2013-01-14T07:54:16Z
PowerShell,C#,54164,8360,PowerShell,2016-01-13T23:41:35Z
jellyfin,C#,53660,5027,jellyfin,2018-12-09T06:36:45Z
Files,C#,44036,2758,files-community,2019-01-04T18:19:14Z
ShareX,C#,38261,3804,ShareX,2013-10-08T23:32:10Z
aspnetcore,C#,38147,10717,dotnet,2014-03-11T06:09:42Z
RevokeMsgPatcher,C#,38006,4014,huiyadanli,2019-07-21T15:12:52Z
DevToys,C#,31686,1754,DevToys-app,2021-09-29T01:40:41Z
Avalonia,C#,31042,2727,AvaloniaUI,2013-12-05T20:13:21Z
dnSpy,C#,29574,5568,dnSpy,2015-07-01T16:05:10Z
semantic-kernel,C#,28192,4662,microsoft,2023-02-27T17:39:42Z
ScreenToGif,C#,27166,2337,NickeManarin,2016-08-02T01:28:59Z
SteamTools,C#,25958,1661,BeyondDimension,2020-12-15T13:52:11Z
ILSpy,C#,25504,3676,icsharpcode,2011-02-04T11:24:20Z
WaveFunctionCollapse,C#,25149,1346,mxgmn,2016-09-30T11:53:17Z
UniGetUI,C#,24712,842,Devolutions,2021-06-15T12:57:58Z
eShopOnContainers,C#,24363,10113,dotnet-architecture,2016-10-05T22:35:23Z
QuickLook,C#,23898,1269,QL-Win,2017-04-12T14:57:38Z
maui,C#,23271,1950,dotnet,2020-05-08T18:11:05Z
CodeHub,C#,22600,610,CodeHubApp,2013-07-23T22:19:57Z
awesome-dotnet-core,C#,21301,2954,thangchung,2016-03-17T03:52:09Z
roslyn,C#,20501,4271,dotnet,2015-01-11T02:39:03Z
CleanArchitecture,C#,20248,4231,jasontaylordev,2019-10-07T18:44:32Z
Lean,C#,20158,4980,QuantConnect,2014-11-28T04:20:19Z
PEASS-ng,C#,20044,3364,peass-ng,2019-01-13T19:58:24Z
Bulk-Crap-Uninstaller,C#,19885,866,BCUninstaller,2016-08-01T15:17:05Z
ml-agents,C#,19509,4465,Unity-Technologies,2017-09-08T21:09:04Z
ContextMenuManager,C#,19407,855,BluePointLilac,2020-10-15T06:27:04Z
server,C#,19285,1677,bitwarden,2015-11-23T23:45:33Z
CMWTAT_Digital_Edition,C#,19135,2173,TGSAN,2018-05-27T13:45:02Z
lively,C#,19072,1304,rocksdanister,2019-08-08T05:57:26Z
osu,C#,18566,2707,ppy,2014-07-31T04:26:30Z
Dapper,C#,18336,3672,DapperLib,2011-04-14T08:42:59Z
CleanArchitecture,C#,18307,3067,ardalis,2016-09-30T14:19:20Z
optimizer,C#,18243,1192,hellzerg,2017-09-13T07:49:36Z
runtime,C#,17999,5480,dotnet,2019-09-24T23:36:39Z
netch,C#,17635,2841,netchx,2019-06-25T09:55:30Z
OpenRA,C#,16869,2961,OpenRA,2010-10-04T07:38:05Z
MaterialDesignInXamlToolkit,C#,16182,3504,MaterialDesignInXAML,2015-02-07T23:30:48Z
N_m3u8DL-CLI,C#,15984,2287,nilaoda,2019-04-18T13:43:49Z
Jackett,C#,15628,1519,Jackett,2015-10-29T16:23:19Z
YoutubeDownloader,C#,15498,1987,Tyrrrz,2018-11-16T11:30:50Z
AssetStudio,C#,15483,2928,Perfare,2016-08-02T11:59:11Z
Flow.Launcher,C#,15014,617,Flow-Launcher,2020-04-21T08:12:15Z
efcore,C#,14719,3391,dotnet,2014-01-23T00:52:01Z
duplicati,C#,14685,1045,duplicati,2014-08-05T08:28:16Z
FileConverter,C#,14650,885,Tichau,2015-04-06T10:15:53Z
abp,C#,14321,3698,abpframework,2016-12-03T22:56:24Z
EverythingToolbar,C#,14240,550,srwi,2020-09-13T17:20:21Z
Polly,C#,14193,1275,App-vNext,2013-05-05T04:40:04Z
QuestPDF,C#,14093,763,QuestPDF,2021-01-04T22:47:16Z
winsw,C#,14090,1685,winsw,2010-02-03T02:49:39Z
MonoGame,C#,14065,3080,MonoGame,2011-04-07T00:23:40Z
Sonarr,C#,14021,1816,Sonarr,2011-09-27T05:57:16Z
better-genshin-impact,C#,13932,991,babalae,2023-08-27T01:02:45Z
BBDown,C#,13901,1674,nilaoda,2020-07-26T11:43:28Z
Radarr,C#,13851,1181,Radarr,2016-12-25T11:38:26Z
g-helper,C#,13848,520,seerge,2023-02-10T23:11:28Z
modular-monolith-with-ddd,C#,13787,2163,kgrzybek,2019-08-23T00:12:03Z
ImageGlass,C#,13523,714,d2phap,2012-12-30T16:13:14Z
ArchiSteamFarm,C#,13430,1101,JustArchiNET,2015-10-25T05:12:33Z
Playnite,C#,13328,635,JosefNemec,2017-03-25T19:16:06Z
subtitleedit,C#,13274,1233,SubtitleEdit,2014-02-03T08:17:41Z
AspNetCore.Docs,C#,13117,24725,dotnet,2014-12-19T17:38:02Z
UnityCsReference,C#,12884,2557,Unity-Technologies,2018-03-23T13:08:32Z
skills,C#,12788,1097,MiniMax-AI,2026-03-17T07:19:25Z
csharplang,C#,12638,1068,dotnet,2016-12-09T01:45:27Z
PDFPatcher,C#,12503,1569,wmjordan,2021-12-24T12:30:42Z
LKY_OfficeTools,C#,12065,1091,OdysseusYuan,2022-10-27T14:58:30Z
aspnetboilerplate,C#,11989,3820,aspnetboilerplate,2013-08-18T20:45:08Z
garnet,C#,11886,669,microsoft,2023-08-21T21:54:58Z
MediatR,C#,11846,2192,LuckyPennySoftware,2014-03-03T15:01:22Z
Dependencies,C#,11637,936,lucasg,2017-06-25T15:00:10Z
Locale-Emulator,C#,11605,824,xupefei,2013-03-17T13:51:51Z
spectre.console,C#,11517,665,spectreconsole,2020-07-21T09:59:20Z
mono,C#,11451,3812,mono,2010-07-22T18:06:36Z
choco,C#,11429,954,chocolatey,2014-12-30T22:12:11Z
BenchmarkDotNet,C#,11428,1052,dotnet,2013-08-18T06:17:48Z
DiscordChatExporter,C#,11427,982,Tyrrrz,2017-07-12T17:18:19Z
Newtonsoft.Json,C#,11305,3304,JamesNK,2012-02-18T07:30:28Z
Winhance,C#,11245,551,memstechtips,2025-01-13T13:20:05Z
EarTrumpet,C#,11114,581,File-New-Project,2015-07-11T08:43:37Z
Terminal.Gui,C#,11085,779,tui-cs,2017-12-11T03:23:45Z
basic-computer-games,C#,11075,1340,coding-horror,2021-01-30T21:28:22Z
DriverStoreExplorer,C#,11031,543,lostindark,2016-06-15T04:03:33Z
unity-mcp,C#,11028,1222,CoplayDev,2025-03-18T11:01:58Z
Kavita,C#,11007,614,Kareadita,2020-12-12T22:23:54Z
UniTask,C#,10971,1016,Cysharp,2019-05-19T16:09:55Z
mRemoteNG,C#,10901,1594,mRemoteNG,2010-01-06T15:53:17Z
orleans,C#,10794,2129,dotnet,2014-12-19T14:32:50Z
Captura,C#,10726,1977,MathewSachin,2015-08-29T10:30:45Z
eShopOnWeb,C#,10681,5998,dotnet-architecture,2017-02-28T02:39:37Z
DotNetGuide,C#,10647,1496,YSGStudyHards,2020-10-08T14:54:22Z
eShop,C#,10612,3681,dotnet,2023-10-18T23:00:45Z
MudBlazor,C#,10452,1650,MudBlazor,2020-08-18T10:47:27Z
practical-aspnetcore,C#,10382,1418,dodyg,2016-07-27T08:23:40Z
CefSharp,C#,10227,2936,cefsharp,2010-12-03T15:23:23Z
AutoMapper,C#,10193,2407,LuckyPennySoftware,2010-02-06T15:17:58Z
StockSharp,C#,10188,2177,StockSharp,2014-12-08T07:53:44Z
RunCat365,C#,10160,836,runcat-dev,2020-08-06T16:27:09Z
Notepads,C#,10135,552,0x7c13,2019-06-01T01:20:33Z
imewlconverter,C#,10131,697,studyzy,2012-04-12T04:03:25Z
nopCommerce,C#,10091,5992,nopSolutions,2014-04-09T05:47:50Z
Hangfire,C#,10081,1750,HangfireIO,2013-08-06T09:43:04Z
uno,C#,9975,868,unoplatform,2018-05-07T11:52:27Z
Quasar,C#,9869,2644,quasar,2014-07-08T12:27:59Z
RestSharp,C#,9828,2309,restsharp,2009-11-16T02:01:45Z
ET,C#,9826,3246,egametang,2010-06-27T15:50:52Z
MahApps.Metro,C#,9806,2433,MahApps,2011-10-16T04:16:10Z
FluentValidation,C#,9728,1268,FluentValidation,2009-12-20T19:17:03Z
Humanizer,C#,9721,1058,Humanizr,2012-05-03T12:01:45Z
Bogus,C#,9708,545,bchavez,2015-06-06T18:28:14Z
FluentTerminal,C#,9600,452,felixse,2018-01-21T09:45:11Z
yarp,C#,9534,920,dotnet,2020-03-05T18:10:21Z
refit,C#,9531,783,reactiveui,2013-07-22T20:11:57Z
Windows-Auto-Night-Mode,C#,9520,301,AutoDarkMode,2018-11-17T21:19:37Z
wpfui,C#,9474,983,lepoco,2021-07-24T23:09:19Z
LiteDB,C#,9417,1322,litedb-org,2014-08-25T13:49:30Z
SignalR,C#,9392,2249,SignalR,2011-07-22T03:52:19Z
machinelearning,C#,9332,1943,dotnet,2018-05-03T16:20:42Z
Il2CppDumper,C#,9105,1849,Perfare,2016-12-30T18:29:45Z
Unity3DTraining,C#,9042,2106,XINCGer,2016-04-25T14:37:08Z
git-credential-manager,C#,9027,2821,git-ecosystem,2018-11-20T14:50:07Z
DnsServer,C#,8965,719,TechnitiumSoftware,2017-10-29T10:56:47Z
jynew,C#,8906,1874,jynew,2021-05-12T09:32:49Z
WeiXinMPSDK,C#,8872,4351,JeffreySu,2013-01-11T13:52:44Z
Ocelot,C#,8710,1684,ThreeMammals,2016-06-29T20:35:24Z
BiliBiliToolPro,C#,8682,1901,RayWangQvQ,2021-12-08T14:57:45Z
LibreHardwareMonitor,C#,8559,948,LibreHardwareMonitor,2017-08-10T16:19:30Z
SteamAchievementManager,C#,8538,825,gibbed,2017-11-08T02:25:16Z
AspNetCoreDiagnosticScenarios,C#,8509,778,davidfowl,2018-10-10T05:59:35Z
ReactiveUI,C#,8504,1147,reactiveui,2010-06-11T05:24:29Z
gitextensions,C#,8477,2187,gitextensions,2008-12-06T09:18:59Z
StabilityMatrix,C#,8398,573,LykosAI,2023-06-13T05:20:38Z
NETworkManager,C#,8383,819,BornToBeRoot,2017-04-26T21:20:08Z
N_m3u8DL-RE,C#,8201,833,nilaoda,2022-05-25T12:28:40Z
Bili.Uwp,C#,8184,488,Richasy,2021-05-30T00:52:25Z
C-Sharp,C#,8155,1699,TheAlgorithms,2016-07-29T06:04:43Z
MarkovJunior,C#,8135,347,mxgmn,2022-06-01T12:27:02Z
EntityComponentSystemSamples,C#,8128,1721,Unity-Technologies,2018-03-17T08:56:44Z
BepInEx,C#,8107,839,BepInEx,2018-02-11T00:26:15Z
OrchardCore,C#,8104,2579,OrchardCMS,2014-11-19T22:29:26Z
blockchain,C#,8053,2799,dvf,2017-09-24T19:36:36Z
OfficeCLI,C#,8022,592,iOfficeAI,2026-03-15T07:39:12Z
ImageSharp,C#,7998,895,SixLabors,2016-10-28T04:46:36Z
serilog,C#,7997,858,serilog,2013-02-14T11:44:03Z
ZyperWinOptimize,C#,7951,460,ZyperWave,2025-08-05T01:46:41Z
PixiEditor,C#,7844,318,PixiEditor,2018-10-09T19:11:51Z
ailab,C#,7842,1388,microsoft,2018-07-23T22:40:54Z
xdm,C#,7804,1180,subhra74,2018-02-25T13:09:15Z
elsa-core,C#,7796,1511,elsa-workflows,2018-10-01T19:43:12Z
MassTransit,C#,7764,1969,MassTransit,2010-07-16T13:21:43Z
AssetRipper,C#,7757,904,AssetRipper,2021-07-12T03:52:18Z
clean-code-dotnet,C#,7693,1143,thangchung,2017-09-11T03:43:01Z
stride,C#,7673,1121,stride3d,2018-06-08T05:25:16Z
wpf,C#,7670,1293,dotnet,2018-10-19T01:55:23Z
Entitas,C#,7658,1131,sschmid,2014-03-18T16:36:44Z
btcpayserver,C#,7622,1977,btcpayserver,2017-08-18T12:57:05Z
Electron.NET,C#,7596,747,ElectronNET,2017-10-03T12:30:29Z
LenovoLegionToolkit,C#,7539,369,BartoszCichecki,2021-10-19T08:59:53Z
downkyicore,C#,7467,554,yaobiao131,2023-11-25T14:00:58Z
OFGB,C#,7445,250,xM4ddy,2024-04-30T11:50:14Z
de4dot,C#,7429,2810,de4dot,2011-09-20T01:50:28Z
UIEffect,C#,7383,925,mob-sakai,2017-02-27T13:49:29Z
ViVe,C#,7381,366,thebookisclosed,2019-09-19T18:34:38Z
NSwag,C#,7346,1353,RicoSuter,2015-09-02T19:11:57Z
UniRx,C#,7327,887,neuecc,2014-03-20T12:23:28Z
STranslate,C#,7258,379,STranslate,2022-12-17T13:40:24Z
reactive,C#,7159,791,dotnet,2013-09-03T22:33:51Z
Nancy,C#,7104,1442,NancyFx,2010-06-24T19:35:22Z
HandyControl,C#,7103,1166,HandyOrg,2018-05-22T05:04:19Z
CAP,C#,7091,1331,dotnetcore,2016-12-14T09:40:20Z
language-ext,C#,7061,451,louthy,2014-11-16T23:49:58Z
quartznet,C#,7046,1715,quartznet,2010-12-30T16:29:27Z
FlyOOBE,C#,7035,380,builtbybel,2024-10-19T22:03:51Z
ShadowsocksR-Windows,C#,6968,1118,HMBSbige,2018-04-19T04:53:38Z
sharpkeys,C#,6904,441,randyrants,2017-04-12T15:33:02Z
MailKit,C#,6811,865,jstedfast,2013-12-07T04:07:06Z
GameFramework,C#,6809,1563,EllanJiang,2017-02-26T06:17:27Z
Prism,C#,6799,1652,PrismLibrary,2015-02-25T20:54:32Z
EquinoxProject,C#,6777,1652,EduardoPires,2016-12-14T04:36:58Z
dlss-swapper,C#,6755,191,beeradmoore,2021-08-07T00:33:57Z
Prowlarr,C#,6729,348,Prowlarr,2020-10-18T04:26:27Z
MessagePack-CSharp,C#,6717,766,MessagePack-CSharp,2017-02-13T00:58:41Z
nvidiaProfileInspector,C#,6663,370,Orbmu2k,2016-03-26T18:53:58Z
ScottPlot,C#,6658,1007,ScottPlot,2018-01-04T03:34:45Z
FASTER,C#,6628,592,microsoft,2018-08-02T06:38:41Z
dotnet-starter-kit,C#,6594,1957,fullstackhero,2021-08-20T06:43:02Z
NLog,C#,6545,1384,NLog,2012-09-12T13:49:29Z
Harmony,C#,6539,568,pardeike,2017-01-04T09:43:16Z
ToastFish,C#,6479,497,Uahh,2021-05-03T08:38:08Z
Borderless-Gaming,C#,6461,597,andrewmd5,2014-01-11T08:02:50Z
openhardwaremonitor,C#,6420,1312,openhardwaremonitor,2015-08-23T21:32:54Z
VPet,C#,6418,630,LorisYounger,2022-12-13T06:37:41Z
LittleBigMouse,C#,6407,271,mgth,2015-02-07T13:30:07Z
moq,C#,6388,834,devlooped,2012-03-11T21:09:02Z
Parabolic,C#,6373,300,NickvisionApps,2021-12-18T16:43:09Z
sbox-public,C#,6290,625,Facepunch,2025-11-24T08:18:33Z
Mirror,C#,6224,859,MirrorNetworking,2018-07-20T18:37:41Z
StackExchange.Redis,C#,6175,1551,StackExchange,2014-03-14T14:09:26Z
awesome-mac,Swift,106271,7932,jaywcjlove,2016-07-17T15:33:47Z
swift,Swift,70116,10742,swiftlang,2015-10-23T21:15:07Z
awesome-ios,Swift,52588,6978,vsouza,2014-07-10T16:03:45Z
iina,Swift,45339,2849,iina,2016-12-19T07:18:45Z
container,Swift,42772,1256,apple,2025-05-30T21:26:05Z
Alamofire,Swift,42392,7667,Alamofire,2014-07-31T05:56:19Z
stats,Swift,39956,1394,exelban,2019-05-29T19:24:56Z
UTM,Swift,34509,1742,utmapp,2019-04-12T16:09:24Z
MonitorControl,Swift,33548,972,MonitorControl,2017-09-16T21:13:40Z
ShadowsocksX-NG,Swift,32887,7796,shadowsocks,2016-06-10T11:49:00Z
Rectangle,Swift,29305,949,rxhanson,2019-06-21T21:34:53Z
swift-algorithm-club,Swift,29098,4966,kodecocodes,2016-01-26T17:56:12Z
Ice,Swift,28608,780,jordanbaird,2023-08-04T22:51:56Z
Charts,Swift,28000,6004,ChartsOrg,2015-03-20T10:49:12Z
lottie-ios,Swift,26765,3832,airbnb,2016-10-06T22:38:38Z
vapor,Swift,26139,1515,vapor,2016-01-18T22:37:52Z
bitchat,Swift,26051,2493,permissionlesstech,2025-07-04T14:34:38Z
RxSwift,Swift,24646,4159,ReactiveX,2015-04-07T21:25:17Z
Kingfisher,Swift,24350,2756,onevcat,2015-04-06T14:26:21Z
SwiftyJSON,Swift,22951,3425,SwiftyJSON,2014-06-18T14:41:15Z
CodeEdit,Swift,22920,1173,CodeEditApp,2022-03-10T21:28:14Z
cmux,Swift,22884,1794,manaflow-ai,2026-01-28T10:03:24Z
Hero,Swift,22463,1735,HeroTransitions,2016-11-24T18:49:37Z
AeroSpace,Swift,21374,565,nikitabobko,2023-05-21T20:20:17Z
Aerial,Swift,20973,1037,JohnCoates,2015-10-26T21:21:31Z
Mos,Swift,20687,656,Caldis,2017-01-27T12:12:48Z
Maccy,Swift,20454,1016,p0deje,2018-01-31T05:01:53Z
SnapKit,Swift,20341,2047,SnapKit,2014-06-05T21:13:40Z
ReactiveCocoa,Swift,19833,3417,ReactiveCocoa,2012-03-02T22:11:24Z
SwiftLint,Swift,19628,2306,realm,2015-05-16T16:59:31Z
OpenEmu,Swift,17613,1344,OpenEmu,2010-12-20T20:13:58Z
IQKeyboardManager,Swift,16625,2448,hackiftekhar,2013-08-25T11:32:48Z
Amethyst,Swift,16173,520,ianyh,2013-05-17T04:15:55Z
SwiftGuide,Swift,15987,3499,ipader,2014-06-14T01:17:57Z
alt-tab-macos,Swift,15960,724,lwouis,2019-08-14T13:11:57Z
Moya,Swift,15361,2002,Moya,2014-08-16T07:41:21Z
CodexBar,Swift,15360,1265,steipete,2025-11-16T17:00:44Z
Design-Patterns-In-Swift,Swift,15252,1733,ochococo,2014-07-13T18:15:14Z
Carthage,Swift,15176,1547,Carthage,2014-10-10T19:54:55Z
SwifterSwift,Swift,15110,1668,SwifterSwift,2016-08-01T22:25:24Z
Whisky,Swift,15106,575,Whisky-App,2023-03-23T15:05:09Z
swift-composable-architecture,Swift,14757,1671,pointfreeco,2020-05-03T23:18:40Z
hidden,Swift,14255,424,dwarvesf,2019-02-12T03:22:19Z
PromiseKit,Swift,14235,1458,mxcl,2014-04-04T13:54:37Z
Spring,Swift,14033,1804,MengTo,2014-12-26T14:57:02Z
AltStore,Swift,13983,1333,altstoreio,2019-05-10T18:29:53Z
WeChatTweak,Swift,13752,1645,sunnyyoung,2017-01-18T05:42:16Z
Perfect,Swift,13746,928,PerfectlySoft,2015-10-02T18:20:08Z
Pearcleaner,Swift,13740,340,alienator88,2023-11-13T03:55:50Z
Easydict,Swift,13646,684,tisfeng,2022-11-15T12:41:53Z
openhaystack,Swift,13068,655,seemoo-lab,2021-02-22T13:23:06Z
firefox-ios,Swift,12974,3227,mozilla-mobile,2014-11-03T19:07:02Z
SkeletonView,Swift,12877,1128,Juanpe,2017-11-07T19:05:28Z
supertonic,Swift,12695,1305,supertone-inc,2025-11-18T08:23:58Z
mas,Swift,12235,295,mas-cli,2015-08-02T20:43:12Z
Signal-iOS,Swift,12133,3437,signalapp,2014-05-04T15:42:40Z
Material,Swift,11988,1258,CosmicMind,2015-08-22T16:21:53Z
Eureka,Swift,11818,1310,xmartlabs,2015-09-28T22:20:53Z
30DaysofSwift,Swift,11487,2004,allenwong,2016-02-13T14:02:12Z
PlayCover,Swift,11437,931,PlayCover,2022-07-08T16:38:11Z
AudioKit,Swift,11384,1615,AudioKit,2014-01-21T08:16:07Z
animated-tab-bar,Swift,11089,1307,Ramotion,2014-11-11T11:20:04Z
Loop,Swift,11019,245,mrkai77,2023-01-24T18:33:33Z
NVActivityIndicatorView,Swift,10708,1156,ninjaprox,2015-07-21T15:01:17Z
CryptoSwift,Swift,10555,1799,krzyzanowskim,2014-07-06T07:31:39Z
folding-cell,Swift,10194,1137,Ramotion,2015-12-21T14:29:48Z
swift-package-manager,Swift,10182,1473,swiftlang,2015-10-23T21:41:12Z
SQLite.swift,Swift,10176,1615,stephencelis,2014-10-04T18:23:46Z
NetNewsWire,Swift,10165,705,Ranchero-Software,2017-05-21T17:59:23Z
pock,Swift,10139,372,pock,2017-09-10T18:54:41Z
eul,Swift,9911,372,gao-sun,2020-06-26T07:10:17Z
Quick,Swift,9831,896,Quick,2014-06-05T00:29:53Z
boring.notch,Swift,9795,804,TheBoredTeam,2024-08-02T06:48:39Z
FlappySwift,Swift,9694,2646,newlinedotco,2014-06-03T05:04:12Z
R.swift,Swift,9571,780,mac-cain13,2014-12-11T21:36:17Z
SwiftGen,Swift,9549,766,SwiftGen,2015-07-15T23:58:44Z
iOSInterviewQuestions,Swift,9531,2790,ChenYilong,2015-07-31T15:02:54Z
LiveContainer,Swift,9323,766,LiveContainer,2023-07-14T23:02:29Z
DevToysMac,Swift,9229,372,DevToys-app,2022-01-30T09:53:36Z
ObjectMapper,Swift,9146,1028,tristanhimmelman,2014-10-16T16:14:49Z
AlDente-Battery_Care_and_Monitoring,Swift,9085,330,AppHouseKitchen,2020-02-16T02:24:34Z
TrackWeight,Swift,9035,391,KrishKrosh,2025-07-21T05:55:02Z
palmier-pro,Swift,8894,603,palmier-io,2026-04-07T04:15:51Z
SwiftFormat,Swift,8841,688,nicklockwood,2016-08-22T19:39:05Z
WWDC,Swift,8748,770,insidegui,2015-04-19T20:09:26Z
containerization,Swift,8731,310,apple,2025-05-29T17:15:44Z
gitignore.io,Swift,8715,691,toptal,2013-02-14T14:25:36Z
